file_name,z,ebv,j
spec-6268-56245-0996.fits,0.07968225,0.0726,421
spec-4975-56037-0235.fits,0.07969576,0.0213,422
spec-4356-55829-0106.fits,0.07982838,0.0442,423
spec-6138-56598-0990.fits,0.07992732,0.0303,424
spec-4404-55513-0236.fits,0.07994817,0.0509,425
spec-4614-55604-0798.fits,0.08015943,0.0162,426
spec-6205-56187-0254.fits,0.0802967,0.0752,427
spec-4064-55366-0830.fits,0.08044587,0.0497,428
spec-4463-55868-0878.fits,0.08062191,0.0344,429
spec-5357-55956-0526.fits,0.08076517,0.0173,430
spec-4452-55536-0154.fits,0.08081985,0.0281,431
spec-5366-55958-0345.fits,0.08087101,0.0242,432
spec-4417-55829-0068.fits,0.08097029,0.0194,433
spec-5381-56009-0454.fits,0.08097591,0.0343,434
spec-5067-55751-0254.fits,0.08099223,0.0655,435
spec-5379-55986-0728.fits,0.08115157,0.0263,436
spec-4989-56069-0184.fits,0.08119771,0.0359,437
spec-4508-55600-0892.fits,0.08134829,0.0357,438
spec-4379-55881-0444.fits,0.08138697,0.0866,439
spec-4051-55337-0068.fits,0.08147622,0.0171,440
spec-4834-55685-0694.fits,0.0814999,0.018,441
spec-4298-55511-0014.fits,0.08152352,0.021,442
spec-3588-55184-0070.fits,0.08153816,0.0154,443
spec-7144-56564-0016.fits,0.08160337,0.0428,444
spec-6598-56574-0871.fits,0.08165003,0.0414,445
spec-4461-55888-0264.fits,0.08167838,0.0273,446
spec-4470-55587-0264.fits,0.08185881,0.0408,447
spec-4053-55591-0998.fits,0.08211281,0.0212,448
spec-3800-55486-0330.fits,0.08218212,0.039,449
spec-4631-55617-0120.fits,0.0822087,0.0161,450
spec-4486-55588-0190.fits,0.08224785,0.0381,451
spec-3754-55488-0854.fits,0.08232523,0.0487,452
spec-6138-56598-0950.fits,0.0823353,0.0379,453
spec-5328-55982-0773.fits,0.08235885,0.0273,454
spec-5411-55953-0097.fits,0.08236344,0.0204,455
spec-5382-55982-0427.fits,0.08238748,0.0242,456
spec-4371-55830-0314.fits,0.08247349,0.0392,457
spec-6508-56535-0238.fits,0.08252526,0.0524,458
spec-5040-56243-0916.fits,0.08253713,0.0588,459
spec-4892-55738-0338.fits,0.08254364,0.0444,460
spec-3681-55243-0960.fits,0.08271679,0.034,461
spec-6507-56478-0086.fits,0.0828981,0.0531,462
spec-4300-55528-0192.fits,0.0829037,0.0201,463
spec-3659-55181-0768.fits,0.08306928,0.0405,464
spec-6310-56455-0867.fits,0.0831743,0.0231,465
spec-4050-55599-0336.fits,0.08324158,0.0276,466
spec-4275-55501-0584.fits,0.08325902,0.034,467
spec-4093-55475-0638.fits,0.08346549,0.0521,468
spec-6594-56272-0198.fits,0.08350726,0.0498,469
spec-5457-55976-0722.fits,0.08354109,0.0253,470
spec-7563-56810-0777.fits,0.08364838,0.0092,471
spec-6180-56301-0796.fits,0.08365814,0.057,472
spec-4404-55513-0618.fits,0.08373795,0.0283,473
spec-5396-55947-0172.fits,0.08393812,0.0188,474
spec-6026-56071-0686.fits,0.08410548,0.0135,475
spec-4282-55507-0853.fits,0.08424344,0.0509,476
spec-5902-56042-0362.fits,0.08435494,0.0265,477
spec-6131-56211-0188.fits,0.08436104,0.0511,478
spec-4640-55927-0262.fits,0.08438622,0.0123,479
spec-4748-55631-0258.fits,0.08450354,0.0245,480
spec-4379-55881-0514.fits,0.08454414,0.0634,481
spec-5729-56598-0424.fits,0.08456047,0.0137,482
spec-5335-56013-0248.fits,0.0847084,0.0442,483
spec-4411-56164-0942.fits,0.08471055,0.1067,484
spec-4792-55925-0928.fits,0.08472651,0.0449,485
spec-4387-55534-0642.fits,0.08475378,0.0223,486
spec-4270-55511-0146.fits,0.08490277,0.0283,487
spec-4533-55855-0009.fits,0.08491333,0.0288,488
spec-4279-55508-0866.fits,0.08491953,0.0538,489
spec-4271-55507-0926.fits,0.08499913,0.0283,490
spec-4273-55506-0248.fits,0.08503155,0.0226,491
spec-5377-55957-0812.fits,0.08503523,0.0201,492
spec-5656-55940-0054.fits,0.08504513,0.1005,493
spec-6183-56210-0790.fits,0.08505839,0.0452,494
spec-4075-55352-0114.fits,0.08506964,0.0456,495
spec-5173-56046-0584.fits,0.08513551,0.0095,496
spec-7257-56658-0741.fits,0.08533404,0.4123,497
spec-6136-56206-0602.fits,0.08537237,0.0225,498
spec-5407-55926-0876.fits,0.08544919,0.0198,499
